nom,symbole,facteur,prix_achat,prix_vente,medicament_id,is_default
Comprimé,Cp,1,,,ROVAMYCINE,1
Flacon,Fl,1,,,ROVAMYCINE IV,1
Comprimé,Cp,1,,,JOSACINE,1
Comprimé,Cp,1,,,PYOSTACINE,1
Comprimé,Cp,1,,,FUCIDINE,1
Suspension,Susp,1,,,FUCIDINE Enfant,1
Suspension,Susp,1,,,FUCIDINE Nourrisson,1
Flacon,Fl,1,,,FUSIDATE DE SODIUM,1
Gélule,Gél,1,,,DALACINE,1
Ampoule,Amp,1,,,DALACINE Injectable,1
Flacon,Fl,1,,,FOSFOCINE,1
Flacon,Fl,1,,,VANCOMYCINE,1
Flacon,Fl,1,,,TARGOCID,1
Flacon,Fl,1,,,XYDALBA,1
Comprimé,Cp,1,,,ZYVOXID,1
Comprimé,Cp,1,,,SIVEXTRO,1
Flacon,Fl,1,,,CUBICIN,1
Flacon,Fl,1,,,TYGACIL,1
Comprimé,Cp,1,,,DIFICLIR,1
Flacon,Fl,1,,,ZINPLAVA,1
Comprimé,Cp,1,,,DOXY,1
Comprimé,Cp,1,,,DOXYLIS,1
Comprimé,Cp,1,,,GRANUDOXY,1
Comprimé,Cp,1,,,SPANOR,1
Comprimé,Cp,1,,,TOLEXINE,1
Comprimé,Cp,1,,,DOXYPALU,1
Gélule,Gél,1,,,MYNOCINE,1
Comprimé,Cp,1,,,TETRALYSAL,1
Ampoule,Amp,1,,,VIBRAVEINEUSE,1
Comprimé,Cp,1,,,THIOPHÉNICOL,1
Flacon,Fl,1,,,THIOPHÉNICOL Injectable,1
Flacon,Fl,1,,,COLIMYCINE,1
Gélule,Gél,1,,,COLOBREATHE,1
Flacon,Fl,1,,,TADIM,1
Comprimé,Cp,1,,,CIFLOX,1
Comprimé,Cp,1,,,UNIFLOX,1
Flacon,Fl,1,,,CIFLOX injectable,1
Comprimé,Cp,1,,,TAVANIC,1
Flacon,Fl,1,,,TAVANIC perfusion,1
Comprimé,Cp,1,,,OFLOCET,1
Comprimé,Cp,1,,,MONOFLOCET,1
Comprimé,Cp,1,,,DECALOGIFLOX,1
Comprimé,Cp,1,,,LOGIFLOX,1
Comprimé,Cp,1,,,IZILOX,1
Comprimé,Cp,1,,,NORFLOXACINE,1
Comprimé,Cp,1,,,FLAGYL,1
Flacon,Fl,1,,,"FLAGYL 0,5% Injectable",1
Comprimé,Cp,1,,,TIBÉRAL,1
Comprimé,Cp,1,,,BIRODOGYL,1
Comprimé,Cp,1,,,RODOGYL,1
Comprimé,Cp,1,,,BACTRIM FORTE,1
Comprimé,Cp,1,,,BACTRIM,1
Ampoule,Amp,1,,,BACTRIM PERFUSION,1
Comprimé,Cp,1,,,DELPRIM,1
Sachet,Sach,1,,,MONURIL,1
Sachet,Sach,1,,,FOSFOPHARM,1
Sachet,Sach,1,,,URIDOZ,1
Comprimé,Cp,1,,,SELEXID,1
Gélule,Gél,1,,,FURADANTINE,1
Comprimé,Cp,1,,,PIRILENE,1
Comprimé,Cp,1,,,RIMIFON,1
Comprimé,Cp,1,,,RIFINAH,1
Comprimé,Cp,1,,,RIFATER,1
Gélule,Gél,1,,,RIFADINE,1
Suspension,Susp,1,,,RIMACTAN,1
Gélule,Gél,1,,,ANSATIPINE,1
Comprimé,Cp,1,,,MYAMBUTOL,1
Comprimé,Cp,1,,,DEXAMBUTOL,1
Sachet,Sach,1,,,GRANUPAS,1
Comprimé,Cp,1,,,SIRTURO,1
Comprimé,Cp,1,,,DELTYBA,1
Comprimé,Cp,1,,,DISULONE,1
Flacon,Fl,1,,,HANSOLAR,1
Gélule,Gél,1,,,LAMPRÈNE,1
Suspension,Susp,1,,,FUNGIZONE Orale,1
Suspension,Susp,1,,,MYCOSTATINE,1
Flacon,Fl,1,,,FUNGIZONE Injectable,1
Flacon,Fl,1,,,ABELCET,1
Flacon,Fl,1,,,AMBISOME,1
Comprimé,Cp,1,,,ANCOTIL,1
Flacon,Fl,1,,,ANCOTIL Injectable,1
